rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,toi_created,rowupdate
1,1000.01,1000,50365310,50365310.01,1,PC,07h29m25.85s,112.357708,-12d41m45.46s,-12.695960000000001,-5.9639999999999995,-0.076,2458493.384,2.1715299999999997,1.9369999999999998,720.0,5.5648,6563.75,2507.0,9.604,485.735,10249.0,4.19,2.17,3/26/2019 13:55,10/30/2020 1:59
2,1001.01,1001,88863718,88863718.01,1,PC,08h10m19.31s,122.58046499999999,-05d30m49.87s,-5.513852,-4.956,-15.555,2458492.839,1.9321700000000002,3.447,980.0,5.80204,5753.0,2426.0,9.42344,295.862,7070.0,4.03,2.01,3/26/2019 13:55,5/20/2020 16:00
3,1002.01,1002,124709665,124709665.0,1,PC,06h58m54.47s,104.726966,-10d34m49.64s,-10.580455,-1.462,-2.249,2458492.602,1.86722,1.926,1630.0,51.1665,38023.4,3890.0,9.299501,943.1089999999999,8924.0,4.03,5.73,3/26/2019 13:55,10/30/2020 1:59
4,1003.01,1003,106997505,106997505.0,1,FP,07h22m14.39s,110.559945,-25d12m25.26s,-25.207017,-0.9390000000000001,1.64,2458493.3959999997,2.74323,3.167,383.410004,51.1665,1177.359985,1631.0,9.3003,7728.17,5388.5,4.15,5.73,3/26/2019 13:55,12/17/2019 10:00
5,1004.01,1004,238597883,238597883.0,1,PC,08h08m42.77s,122.178195,-48d48m10.12s,-48.802811,-4.496,9.347000000000001,2458493.512,3.57491,2.576,500.0,4.752759999999999,2929.87,2049.0,9.1355,356.43699999999995,9219.0,4.14,2.15,3/26/2019 13:55,10/30/2020 1:59
6,1005.01,1005,169904935,169904935.0,1,FP,08h02m49.15s,120.704811,-11d06m05.48s,-11.101521,-26.932,-2.9010000000000002,2458492.555,4.55072,2.5989999999999998,3620.0,6.544490000000001,254.05,1112.0,9.1309,100.711,5613.0,4.14,1.09,3/26/2019 13:55,5/20/2020 16:00
7,1006.01,1006,156115721,156115721.0,1,PC,08h17m26.22s,124.35923899999999,-27d16m24.68s,-27.273521000000002,-29.1,-6.8,2458493.6769999997,2.5044299999999997,3.185,1250.0,6.08324,6874.38,2536.0,9.2386,100.711,6616.0,4.14,1.53,3/26/2019 13:55,10/30/2020 1:59
8,1007.01,1007,65212867,65212867.01,1,PC,07h31m00.57s,112.752393,-04d27m48.09s,-4.463359,0.35700000000000004,3.3989999999999996,2458492.0409999997,6.99823,4.314,2820.0,15.5416,1414.33,1708.0,8.87759,283.291,6596.0,3.71,2.7,3/26/2019 13:55,5/20/2020 16:00
9,1008.01,1008,440801822,440801822.0,1,FP,07h17m31.88s,109.38283899999999,+13d23m42.79s,13.395219,-17.9,1.3,2458492.5209999997,2.04936,2.234,249.5,1.71607,2107.050049,1887.0,8.9362,144.297,6858.5,4.2,0.99,3/26/2019 13:55,3/4/2020 12:58
10,1009.01,1009,107782586,107782586.0,1,PC,07h26m40.28s,111.667845,-24d27m43.6s,-24.462111,-3.2969999999999997,4.849,2458492.253,1.96022,1.611,1420.0,1.71607,15070.9,3086.0,8.4331,866.1469999999999,8868.7,4.2,0.99,3/26/2019 13:55,10/30/2020 1:59
11,101.01,101,231663901,231663901.0,1,KP,21h14m56.88s,318.737012,-55d52m18.71s,-55.871863,12.640999999999998,-16.011,2459036.904,1.430343,1.637794,19976.63002,13.576367999999999,1281.2728650000001,1525.914348,12.4069,375.31,5600.0,4.48851,0.890774,9/5/2018 18:34,9/19/2020 10:00
12,1010.01,1010,139853601,139853601.0,1,PC,07h29m10.56s,112.293981,-21d49m58.48s,-21.832912,-5.746,4.502,2458492.258,0.68088,1.4580000000000002,1580.0,13.576367999999999,182419.0,5757.0,8.45086,485.12199999999996,9438.0,4.48851,0.890774,3/26/2019 13:55,10/30/2020 1:59
